,0
0,NC
1,MD
2,PA
3,VA
4,DC
5,XX
6,LA
7,WV
8,MI
9,TN
10,NV
11,FL
12,CO
13,CA
14,DE
15,AL
16,NJ
17,GA
18,NY
19,IL
20,RI
21,MT
22,IN
23,KY
24,TX
25,SC
26,OH
27,WI
28,OK
29,MA
30,IA
31,CT
32,VT
33,HI
34,US
35,MO
36,ND
37,NE
38,WA
39,PR
40,ME
41,MB
42,NM
43,NH
44,VI
45,AZ
46,SD
47,UT
48,MN
49,ON
50,OR
51,MS
52,AR
53,KS
54,ID
55,IT
56,AK
57,AB
58,SK
59,WY
60,QC
61,BC
62,NS
