,0
0,02 - Automobile
1,05 - Light Duty Truck
2,28 - Other
3,01 - Motorcycle
4,08 - Recreational Vehicle
5,03 - Station Wagon
6,06 - Heavy Duty Truck
7,19 - Moped
8,07 - Truck/Road Tractor
9,25 - Utility Trailer
10,10 - Transit Bus
11,20 - Commercial Rig
12,12 - School Bus
13,04 - Limousine
14,27 - Farm Equipment
15,29 - Unknown
16,24 - Camper
17,14 - Ambulance(Non-Emerg)
18,09 - Farm Vehicle
19,26 - Boat Trailer
20,21 - Tandem Trailer
21,11 - Cross Country Bus
