unique_code,violation_type,category,vehicle_age,belts,personal_injured,contributed_to_accident,property_damaged,vehicle_category,arrest_category
"""Code_22900""",1,4,11,1,0,0,0,1,2
"""Code_10862""",1,15,13,1,0,0,0,1,1
"""Code_16701""",1,4,13,1,0,0,0,1,1
"""Code_10178""",1,3,20,1,0,0,0,1,1
"""Code_4531""",1,7,16,1,0,0,0,1,2
"""Code_7869""",1,13,22,1,0,0,0,1,1
"""Code_14586""",1,4,10,1,0,0,0,1,2
"""Code_13750""",1,4,23,1,0,0,0,1,2
"""Code_15008""",1,2,10,1,0,0,0,1,1
"""Code_10374""",1,13,24,1,0,0,0,1,1
"""Code_17079""",1,2,16,1,0,0,0,1,1
"""Code_19977""",1,9,14,1,1,1,0,1,1
"""Code_23038""",1,7,14,1,0,0,0,1,1
"""Code_18555""",1,0,17,1,0,0,0,1,1
"""Code_2908""",1,15,21,1,0,0,0,1,1
"""Code_24628""",1,1,17,1,0,0,0,1,1
"""Code_19528""",1,14,11,1,0,0,0,1,1
"""Code_19942""",1,7,14,1,0,0,0,1,1
"""Code_29762""",1,15,20,1,0,0,0,1,1
"""Code_32097""",1,2,21,1,0,0,0,1,1
"""Code_9176""",1,4,11,1,0,0,0,1,1
"""Code_1362""",1,1,34,1,0,0,0,1,1
"""Code_8255""",1,6,12,1,0,0,0,1,1
"""Code_14063""",1,2,25,1,1,0,0,1,1
"""Code_30142""",1,12,26,1,0,0,0,1,1
"""Code_20339""",1,7,37,1,0,0,0,1,1
"""Code_28363""",1,7,26,1,0,0,0,2,2
"""Code_31166""",1,4,21,1,0,0,0,1,1
"""Code_30074""",1,2,22,1,0,0,0,2,1
"""Code_11301""",1,9,13,1,0,0,0,1,1
"""Code_3765""",1,5,19,1,0,0,0,1,1
"""Code_25688""",1,4,9,1,0,0,0,2,2
"""Code_18025""",1,13,24,1,0,0,0,1,1
"""Code_3139""",1,4,21,1,0,0,0,1,2
"""Code_16390""",1,7,9,1,0,0,0,1,1
"""Code_11898""",1,2,23,1,0,0,0,1,1
"""Code_14157""",1,6,20,1,0,0,0,1,1
"""Code_25358""",1,0,32,1,0,0,0,2,1
"""Code_32414""",1,5,10,1,0,0,0,1,1
"""Code_18762""",1,15,23,1,0,0,0,1,1
"""Code_12363""",1,7,11,1,0,0,0,1,1
"""Code_15206""",1,7,31,1,0,1,0,1,1
"""Code_5439""",1,3,16,1,0,0,0,1,1
"""Code_16724""",1,2,16,1,0,0,0,1,1
"""Code_26641""",1,7,30,1,0,0,0,1,1
"""Code_31580""",1,7,16,1,0,0,0,1,1
"""Code_15007""",1,2,21,1,0,0,0,1,1
"""Code_28000""",1,4,24,1,0,0,0,1,2
"""Code_13608""",1,3,22,1,0,0,0,1,1
"""Code_11150""",1,3,16,1,0,0,0,1,1
"""Code_13920""",1,2,16,1,0,0,0,1,1
"""Code_12737""",1,9,21,1,0,0,1,1,1
"""Code_21006""",1,2,11,1,0,0,0,1,1
"""Code_8643""",1,14,11,1,0,0,0,1,1
"""Code_4365""",1,11,20,1,0,0,1,1,1
"""Code_3170""",1,6,13,1,0,0,0,1,1
"""Code_3768""",1,2,22,1,1,1,0,1,1
"""Code_30155""",1,16,14,1,0,0,0,1,3
"""Code_26455""",1,5,22,1,0,0,0,1,1
"""Code_27495""",1,9,19,1,0,0,0,4,1
"""Code_3714""",1,7,21,1,0,0,0,1,1
"""Code_21157""",1,2,13,1,0,1,1,1,1
"""Code_30202""",1,4,21,1,0,0,0,1,2
"""Code_26575""",1,7,23,1,0,0,0,1,1
"""Code_6765""",1,7,21,1,0,0,0,1,2
"""Code_7688""",1,7,13,1,0,0,0,1,1
"""Code_16353""",1,9,11,1,0,0,0,1,1
"""Code_2953""",1,12,22,1,0,0,0,1,2
"""Code_5616""",1,7,18,1,0,0,0,1,1
"""Code_23280""",1,3,10,1,0,0,0,2,1
"""Code_7609""",1,3,10,1,0,0,0,1,1
"""Code_24107""",1,3,7,1,0,0,0,1,1
"""Code_15019""",1,9,27,1,0,0,0,1,1
"""Code_13021""",1,4,9,1,0,0,0,1,2
